incident_number,opened_at,category,cmdb_ci,state,problem_id
INC1189014,2021-01-08 15:07:06,Hardware,Okidata MB 472,Closed Complete,
INC1201597,2021-02-10 16:48:15,Software,Atlassian JIRA,Closed Complete,
INC1208978,2021-02-24 10:25:39,Software,ASA 5540 Appliance,Closed Complete,
INC1217878,2021-03-15 16:44:05,Software,Microsoft Office,Closed Complete,
INC1220636,2021-03-22 18:19:45,Software,Informational,Closed Complete,
INC1221109,2021-03-23 13:09:43,Software,Informational,Closed Complete,
INC1222888,2021-03-28 18:14:13,Software,,Closed Complete,
INC1224345,2021-03-31 06:42:51,Software,HR Support Procedure,Closed Complete,
INC1225890,2021-04-04 18:04:04,Software,,Closed Complete,
INC1225896,2021-04-04 18:45:05,Software,,Closed Complete,
INC1226711,2021-04-06 11:26:05,Software,SAP Process,Closed Complete,
INC1234647,2021-04-24 05:29:32,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1236387,2021-04-28 12:56:09,Software,Web External,Closed Complete,
INC1236703,2021-04-29 08:12:05,Software,SiteScope,Closed Complete,
INC1237837,2021-04-30 06:41:10,Software,Visit The Vehicle (VTV),Closed Complete,
INC1238030,2021-04-30 11:58:06,Software,HR Support Procedure,Closed Complete,
INC1238054,2021-04-30 12:42:46,Software,SAP ECC PRD RTP,Closed Complete,
INC1238595,2021-05-02 17:42:27,Software,,Closed Complete,
INC1238596,2021-05-02 17:42:28,Software,,Closed Complete,
INC1238708,2021-05-03 06:17:35,Software,SiteScope,Closed Complete,
INC1238747,2021-05-03 07:15:51,Software,VPN Services and IPSec,Closed Complete,
INC1238905,2021-05-03 09:39:12,Network,Visit The Vehicle (VTV),Closed Complete,
INC1244905,2021-05-17 08:33:19,Software,,Closed Complete,
INC1247025,2021-05-21 10:34:01,Software,Barcode Scanner,Closed Complete,
INC1247727,2021-05-24 09:06:53,Software,,Closed Complete,
INC1250872,2021-06-01 11:44:11,Software,,Closed Complete,
INC1253090,2021-06-06 18:07:42,Software,,Closed Complete,
INC1253091,2021-06-06 18:07:43,Software,,Closed Complete,
INC1253245,2021-06-07 06:45:51,Software,Evolve POS,Closed Complete,
INC1253982,2021-06-08 06:17:52,Software,SiteScope,Closed Complete,
INC1254965,2021-06-09 14:10:59,Software,,Closed Complete,
INC1255230,2021-06-10 08:05:05,Software,Informational,Closed Complete,
INC1255783,2021-06-11 08:59:04,Software,Store Web Orders,Closed Complete,
INC1258649,2021-06-17 14:50:27,Software,,Closed Complete,
INC1261839,2021-06-24 16:28:15,Network,Bar Code Scanner,Closed Complete,
INC1262617,2021-06-27 17:09:07,Software,Skybot,Closed Complete,
INC1267065,2021-07-07 08:17:52,Software,,Closed Complete,
INC1267161,2021-07-07 10:24:23,Software,Tririga,Closed Complete,
INC1268274,2021-07-09 12:37:28,Software,SAP ECC PRD RTP,Closed Complete,
INC1268293,2021-07-09 12:50:36,Software,Workday,Closed Complete,
INC1271585,2021-07-17 10:53:06,Software,Informational,Closed Complete,
INC1271914,2021-07-19 08:36:17,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1272321,2021-07-19 19:07:21,Information Security,Email Filter,Closed Complete,
INC1272602,2021-07-20 09:10:59,Software,,Closed Complete,
INC1277664,2021-07-29 15:39:59,Software,,Closed Complete,
INC1277667,2021-07-29 15:42:49,Software,,Closed Complete,
INC1277669,2021-07-29 15:51:02,Software,,Closed Complete,
INC1277677,2021-07-29 16:03:41,Software,,Closed Complete,
INC1277679,2021-07-29 16:04:56,Software,,Closed Complete,
INC1278435,2021-08-01 17:54:44,Software,,Closed Complete,
INC1283767,2021-08-06 08:54:05,Software,,Closed Complete,
INC1284383,2021-08-08 06:50:36,Software,,Closed Complete,
INC1286010,2021-08-11 10:50:38,Software,,Closed Complete,
INC1286121,2021-08-11 13:35:36,Software,,Closed Complete,
INC1286214,2021-08-11 16:35:33,Software,SAP CAR PRD CAP/HCP,Closed Complete,
INC1286216,2021-08-11 16:50:37,Software,,Closed Complete,
INC1286222,2021-08-11 17:05:37,Software,,Closed Complete,
INC1286226,2021-08-11 17:20:36,Software,,Closed Complete,
INC1286951,2021-08-13 10:05:57,Software,,Closed Complete,
INC1286965,2021-08-13 10:20:40,Software,,Closed Complete,
INC1288312,2021-08-17 11:20:35,Software,,Closed Complete,
INC1288317,2021-08-17 11:32:30,Software,Web External,Closed Complete,
INC1288462,2021-08-17 14:40:57,Software,oktaopcws1,Closed Complete,
INC1288540,2021-08-17 17:30:10,Software,,Closed Complete,
INC1288680,2021-08-18 06:40:34,Software,,Closed Complete,
INC1288692,2021-08-18 06:55:33,Software,,Closed Complete,
INC1288708,2021-08-18 07:13:23,Software,,Closed Complete,
INC1288720,2021-08-18 07:25:36,Software,,Closed Complete,
INC1288736,2021-08-18 07:40:35,Software,,Closed Complete,
INC1288747,2021-08-18 07:55:34,Software,,Closed Complete,
INC1288953,2021-08-18 12:00:09,Software,Web External,Closed Complete,
INC1290121,2021-08-20 17:13:00,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1290425,2021-08-22 11:56:04,Information Security,Email Filter,Closed Complete,
INC1290426,2021-08-22 11:56:06,Information Security,Email Filter,Closed Complete,
INC1290476,2021-08-23 04:35:23,Software,,Closed Complete,
INC1291027,2021-08-24 04:14:07,Software,,Closed Complete,
INC1291028,2021-08-24 04:25:39,Software,,Closed Complete,
INC1291032,2021-08-24 04:40:39,Software,,Closed Complete,
INC1291581,2021-08-25 04:10:35,Software,,Closed Complete,
INC1292123,2021-08-26 04:10:36,Software,,Closed Complete,
INC1292367,2021-08-26 10:25:34,Software,,Closed Complete,
INC1293279,2021-08-28 10:25:34,Software,,Closed Complete,
INC1293403,2021-08-28 18:13:14,Software,,Closed Complete,
INC1293443,2021-08-29 03:13:03,Software,,Closed Complete,
INC1293474,2021-08-29 18:07:44,Software,,Closed Complete,
INC1294021,2021-08-30 14:40:35,Software,,Closed Complete,
INC1295529,2021-09-02 13:55:35,Software,,Closed Complete,
INC1295538,2021-09-02 14:10:35,Software,,Closed Complete,
INC1295546,2021-09-02 14:27:34,Software,,Closed Complete,
INC1295967,2021-09-03 13:56:38,Software,,Closed Complete,
INC1295974,2021-09-03 14:10:37,Software,,Closed Complete,
INC1295982,2021-09-03 14:25:38,Software,skybotprd01,Closed Complete,
INC1295991,2021-09-03 14:40:37,Software,,Closed Complete,
INC1295995,2021-09-03 14:55:36,Software,,Closed Complete,
INC1297318,2021-09-08 13:55:36,Software,,Closed Complete,
INC1298666,2021-09-12 17:52:19,Software,,Closed Complete,
INC1298669,2021-09-12 17:52:49,Software,,Closed Complete,
INC1299134,2021-09-13 13:55:36,Software,,Closed Complete,
INC1299145,2021-09-13 14:10:43,Software,,Closed Complete,
INC1300235,2021-09-15 13:55:34,Software,,Closed Complete,
INC1300249,2021-09-15 14:10:32,Software,,Closed Complete,
INC1302049,2021-09-18 21:10:35,Software,,Closed Complete,
INC1302122,2021-09-20 02:25:40,Software,,Closed Complete,
INC1302123,2021-09-20 02:40:37,Software,,Closed Complete,
INC1302124,2021-09-20 02:55:37,Software,,Closed Complete,
INC1302126,2021-09-20 03:10:36,Software,,Closed Complete,
INC1302127,2021-09-20 03:25:34,Software,,Closed Complete,
